site,address,city,zip
Manchester,250 E Manchester Ave,Los Angeles,90003
Paramount WIC Site,16260 Paramount Boulevard,Paramount,90723
South Gate WIC Site,3357 Tweedy Boulevard,South Gate,90280
117th Street,4455 West 117th Street,Hawthorne,90250
1st Street WIC Center,2798 E. 1st Street,Los Angeles,90033
8Th Street WIC Center,2120 West 8th Street 1St Floor,Los Angeles,90057
Amar WIC Center,15942-44 Amar Road,City Of Industry,91744
Anaheim WIC Center,"1120 W. La Palma Avenue 2nd Floor, Suite 12",Anaheim,92801
Angelus Plaza WIC,3648 Olympic Boulevard,Los Angeles,90023
Avalon-Harry L. Hufford Co. Government,236 Metropole Ave,Avalon,90704
Avenue 43 WIC Center,4303-05 North Figueroa Street,Los Angeles,90065
Azusa WIC Center,109 W. 6th Avenue,Azusa,91702
Baldwin Park WIC Center,4239 Maine Avenue,Baldwin Park,91706
Bellflower WIC Center,17610 Bellflower Boulevard #103-105,Bellflower,90706
Beverly WIC Center,277 Atlantic Boulevard,Los Angeles,90022
Carson WIC Center,860 East Carson Street Suites 108-109,Carson,90745
Chino WIC Center,4774 Riverside Drive,Chino,91710
Citrus Valley WIC Citrus Valley Medical Center,115 South Sunset Avenue Prenatal Service Dept.,West Covina,91790
Covina WICc Center,1012 Citrus #A & B,Covina,91722
Culver City WIC Center,4700 Inglewood Boulevard #103,Culver City,90230
Cypress WIC Center,"4470 West Lincoln Units 5, 6, & 6A",Cypress,90630
Echo Park WIC Center,1311 Glendale Boulevard B & C,Los Angeles,90026
El Monte Valley WIC Center,3560 Santa Anita Avenue Suite G,El Monte,91731
El Sereno WIC Center,4837 Huntington Drive # 6 & 7,Los Angeles,90032
Fountain WIC Center,4618 Fountain Avenue,Los Angeles,90028
Fullerton WIC Center,174 North Raymond Avenue,Fullerton,92831
Gardena WIC Center,15212 South Western Avenue Unit D,Gardena,90249
Garvey WIC Center,10016 Garvey Avenue,El Monte,91733
Hawthorne WIC Center,15685 Hawthorne Boulevard Units E-H,Lawndale,90260
Highland Park WIC Center,6512 North Figueroa #4,Los Angeles,90042
Indian Hill WIC Center,1460 East Holt Ave Suite 194,Pomona,91767
Industry Hills WIC Center,417 South Azusa Avenue,La Puente,91744
Inglewood WIC Center,100 South Market Street,Inglewood,90301
Irwindale ISIS Lab,12781 Schabarum Avenue,Irwindale,91706
La Cienega WIC Center,1801 S La Cienga Boulevard,Los Angeles,90035
La Habra WIC Center,131 South Harbor Boulevard,La Habra,90631
La Mirada WICc Center,14569 Telegraph Road,La Mirada,90638
La Palma WIC,"1110 W. La Palma Avenue Suite 8, 2nd Floor",Anaheim,92801
Lincoln WIC Center,2323 West Lincoln Ave Suite 135,Anaheim,92801
Los Angeles Street WIC,119 East Washington Boulevard,Los Angeles,90015
Main Street WIC Center,631 S Main Street Suite B,Santa Ana,92701
Marengo WIC Center,2032 Marengo Street Room 115,Los Angeles,90033
Montebello WIC Center,2313 Whittier Boulevard,Montebello,90640
Normandie WIC Center,4214 Beverly Boulevard Suites 205-206,Los Angeles,90004
North Pomona WIC,1890 N Garey Avenue,Pomona,91767
Norwalk WIC Center,13926 South San Antonio Drive Suite 102,Norwalk,90650
Pico Place WIC Center,"4100 West Pico Boulevard #3, 4, 5 & 6",Los Angeles,90019
Pico Rivera WIC Center,8666-8676 East Whittier Boulevard,Pico Rivera,90660
Pico Union,1619 West Pico Blvd,Los Angeles,90015
Rodeo Wic Center,3667 Crenshaw Boulevard,Los Angeles,90018
Rosemead WIC Center,8923 East Mission Drive Units A & B,Rosemead,91770
San Pedro WIC Center,312 North Gaffey Street Suite 101-103,San Pedro,90731
Santa Ana East WIC Center,1701 South Grand Avenue,Santa Ana,92704
Santa Ana West WIC Center,5015 West Edinger Space M,Santa Ana,92704
Santa Monica WIC,2606 Pico Boulevard,Santa Monica,90405
South Pomona WIC Center,2232 South Garey Avenue,Pomona,91766
St. Andrew Place WIC Center,1836-1840 West Imperial Highway,Los Angeles,90047
Torrance WIC Center,"1640-1648 Carson Street Unit G, F",Los Angeles,90501
Van Ness WIC Center,5940 Santa Monica Boulevard,Los Angeles,90038
Washington WIC Center,1649 West Washington Boulevard,Los Angeles,90006
Western WIC Center,6918 South Western Avenue,Los Angeles,90047
Whittier WIC Center,10750 Laurel Avenue,Whittier,90605
Wilmington WIC Center,"125 E. Anaheim Street Suite C, D, & E",Wilmington,90744
Arlanza WIC,7801 Gramercy Place,Riverside,95221
Banning Health Center,3055 West Ramsey Street,Banning,92220
Blythe Health Center,1293 West Hobson Way,Blythe,92225
Cathedral City WIC,68615 Perez Road Suite 17-B,Cathedral City,92234
Corona West WIC Clinic,1307 West 6th Street Suites 124,Corona,92882
Desert Hot Springs,"14080 Palm Drive, Suite A",Desert Hot Springs,92240
Hemet Health Center WIC,1055 North State Street,Hemet,92543
Indio Health Center WIC,47-923 Oasis Street Room NT1,Indio,92201
Jurupa Health Center WIC,9415 Mission Boulevard Suite J,Riverside,92509
Lakeshore WIC,2499 East Lakeshore Drive Suite B,Lake Elsinore,92530
Mecca WIC,91275 Avenue 66,Mecca,92254
Moreno Valley WIC Clinic,13800 Heacock Suite 125,Moreno Valley,92553
North Riverside WIC Clinic,1465 Spruce Street,Riverside,92507
Palm Springs Health Center,1515 N. Sunrise Way,Palm Springs,92262
Perris Health Center WIC,308 East San Jacinto Avenue,Perris,92570
Riverside County Health Services Agency Department of Public Health,4065 County Circle Drive,Riverside,92503
Riverside County Regional Medical Center,26520 Cactus Avenue 3rd Floor,Moreno Valley,92555
Riverside Neighborhood Health Center Wic,7140 Indiana Avenue,Riverside,92504
Rubidoux WIC,5256 Mission Blvd.,Rubiboux,92509
Temecula Health Center WIC,41002 County Center Drive Room B,Temecula,92390
Barstow Clinic,705 East Virginia Way Suite E,Barstow,92311
Fort Mojave/Needles WIC,500 Merriman Avenue,Needles,92363
Morongo Clinic,11555 1/2 Potrero Road,Banning,92220
Palm Springs Clinc,901 East Tahaquitz Way Suite A204,Palm Springs,92262
Pechanga Clinic,12784 Pechango Road,Temecula,92390
San Mifuel Clinic,2210 East Highland Avenue Suite 200,San Bernardino,92404
Santa Rosa/Chuilla,39100 Contreras Road Suite C,Anza,92339
Soboba Clinic,607 Donna Way,San Jacinto,92583
Torres-Martinez,66735 Martinez Road,Thermal,92274
29 Palms WIC,6527 Desert Queen Avenue,Twenty-Nine Palms,92277
Barstow Public Health,301 East Mountain View Avenue,Barstow,92311
Community Hospital,1505 17th Street Suite 1,San Bernardino,92411
Foothill WIC,851 W Foothill Blvd.,Rialto,92376
Fort Irwin,"ACS B, 2nd Street Building 548",Fort Irwin,92310
Highland WIC Office,1535 E Highland Avenue,San Bernardino,92404
Main Office,1535 East Highland Avenue,San Bernardino,92404
Ontario Health Center,150 East Holt Boulevard,Ontario,91761
Peter Luque Center,290 East O Street,Colton,92324
Plaza Fontana,9161 Sierra Avenue,Fontana,92335
Rancho Cucamonga,9507 Arrow Route Building 7-Suite A,Rancho Cucamonga,91730
Redlands Community Center,800 East Lugonia Street Suite K,Redlands,92374
Rialto WIC Office,1515 Riverside Avenue,Rialto,92376
SAC - North/English,1455 East Third Street,San Bernardino,92410
SAC - Norton/Spanish,1455 East 3rd Street,San Bernardino,92410
Victor Valley Health Center,16453 Bear Valley Road,Hesperia,92345
Victorville,15247 Eleventh Street,Victorville,92392
Village on D,2035 & 2037 N. 'D' Street,San Bernardino,92405
Yucca Valley WIC,56357 Pima Trail,Yucca Valley,92284
Chula Vista WIC,542 Broadway Suite Q,Chula Vista,91910
Clairemont WIC Office,5222 Balboa Avenue Suite 22,San Diego,92117
El Cajon WIC,321 Van Houten Avenue,El Cajon,92020
Escondido WIC,1130 East Washington Avenue Suite K,Escondido,92025
Fallbrook WIC Clinic,504 East Alvarado Street Suite 105,Fallbrook,92028
Logan Heights Family Health Center,1809 National Avenue,San Diego,92113
Mira Mesa UCSD,10737 Camino Ruiz Suite 135,San Diego,92126
North Park WIC,4101 30th Street Suite A,San Diego,92104
Southeast San Diego Health Center,3177 Oceanview Boulevard,San Diego,92113
Spring Valley WIC,9621 Campo Road Suite G,Spring Valley,91977
Vista WIC,1031 South Santa Fe Avenue Suites G and H,Vista,92083
Chula Vista WIC,1655 Broadway Suite 17 & 18,Chula Vista,91911
Imperial Beach WIC,886 Palm Avenue,Imperial Beach,91932
Maternal Child Health Center WIC Program,4050 Beyer Boulevard,San Ysidro,92173
National City WIC,1005 Plaza Boulevard Suites A & B,National City,91950
San Ysidro Health Center WIC Program,4494 Camino De La Plaza,San Ysidro,92173
Betteravia WIC,2125 South Centerpointe Parkway Suite 302,Santa Maria,93455
Cuyama Health Clinic,4711 Highway 165,New Cuyama,93254
Franklin Center - OPENS IN SEPT. 2012,1136 E Montecito Street,Santa Barbara,93103
Guadalupe Family Services,4681 - 11th Street,Guadalupe,93434
Lompoc WIC Program,301 North R Street,Lompoc,93436
North Santa Maria,203 E Fesler,Santa Maria,93454
Santa Barbara County Health/Carpinteria Clinic,5201 8th Street Suite 203,Carpinteria,93013
Santa Barbara County Public Health - WIC,315 Camino Del Remedio,Santa Barbara,93110
Solvang WIC,545 Alisal Road,Solvang,93463
Downtown Oxnard Site,400 South B Street,Oxnard,93030
Fillmore WIC Fillmore Health Care Services Center,828 West Ventura Street Suite 110E,Fillmore,93015
North Oxnard Public Health Center,2240 East Gonzalez Road Suite 170,Oxnard,93036
Santa Paula Public Health Center,620 West Harvard Boulevard,Santa Paula,93060
Simi Valley Public Health Center,1133B East Los Angeles Avenue Suite B,Simi Valley,93065
South Oxnard Public Health Center,2500 C Street Suite A,Oxnard,93033
Thousand Oaks WIC,125 West Thousand Oaks Boulevard Suite 100,Thousand Oaks,91360
Ventura Public Health Center,3147 Loma Vista Road,Ventura,93003
"Wattshealth Foundation, Inc. Watts Site - WIC",10300 South Compton Avenue,Los Angeles,90002
"Wattshealth Foundation, Inc. Compton Site - WIC",900 North Long Beach Boulevard,Compton,90221
"Wattshealth Foundation, Inc. Huntington Park Site - WIC",6601 Rubgy Avenue,Huntington Park,90002
"Wattshealth Foundation, Inc. Hoover Site - WIC",11400 South Hoover Street,Los Angeles,90044
"Wattshealth Foundation, Inc. Adams Site - WIC",1985 West Adams Boulevard,Los Angeles,90018
Lancaster WIC,701 West Avenue K Suite 104,Lancaster,93534
Palmdale WIC Office,2247 East Palmdale Boulevard,Palmdale,93550
Camino Health Center,30300 Camino Capistrano,San Juan Capistrano,92675
Lake Forest,23832 Rockfield Boulevard Suite 250,Lake Forest,92630
San Clemente,202 Avenida Aragon,San Clemente,92672
Ciquena Women's Health Center,1648 E Lincoln Avenue,Anaheim,92805
Costa Mesa,621 W 19th Street Suite B,Costa Mesa,92627
Friendly Community Center,147 W Rose Avenue,Orange,92867
Gilbert South (Trident Education Center),1800 West Ball Road,Anaheim,92804
Lighthouse Community Center @ Minnie Street,1010 South Minnie Street Suite #3,Santa Ana,92701
Lincoln Continuation High School,11262 Garden Grove Boulevard,Garden Grove,92843
Oak View Family Resource Center,17261 Oak Lane,Huntington Beach,92647
Santa Ana,1134 East 17th Street,Santa Ana,92701
Stanton WIC,12600 Beach Boulevard Suite A,Stanton,90680
"StrongKids Medical Group, Inc./Strong Families Medical Group, Inc.",1491 East La Palma Avenue Suite C,Anaheim,92805
UC Irvine Family Health Center,300 West Carl Karcher Way,Anaheim,92801
Central Valley Indian Health,20 North De Witt,Clovis,93612
North Fork Indian And Community Health,32938 Road 22 Suite 2,North Fork,93643
Picavune,35300 Hwy 41 Suite 200,Coarsegold,93614
Prather Clinic,29369 Auberry Road Suite 102,Prather,93651
Santa Rosa Rancheria,16855 Alkali Drive,Lemoore,93245
Administration WIC Site,Tu Su Lane,Bishop,93514
Benton Clinic,Yellow Jacket Road Star Right 4,Benton,93512
Bridgeport Clinic,0,Bridgeport,93517
Camp Antelope,73 Camp Antelope Road,Coleville,96107
Fort Independence Clinic,0,Fort Independence,93526
Lone Pine WIC,1150 Goodwin Road,Lone Pine,93545
